K	Similarity
1	0.8695661850847771
2	0.8714765169240534
3	0.8738851423992005
4	0.8790306115446643
5	0.885938769989835
6	0.8894256442491654
7	0.892056420800028
8	0.8961259916192471
9	0.8972136282620063
10	0.898812038215942
11	0.8999685922986206
12	0.900830207395131
13	0.9009901138930057
14	0.9028060797505184
15	0.9037736576840456
16	0.9046185468919136
17	0.9047874311411046
18	0.9056204074121594
19	0.9062188279719303
20	0.9065507409268586
21	0.907018932616472
22	0.9076791593390756
23	0.9079854391553821
24	0.908228540381552
25	0.9081626727264774
26	0.9090228187199509
27	0.9085610697079451
28	0.9084385271604896
29	0.9086658736499093
30	0.9091447307578288
31	0.9090527813579133
32	0.9095443692779367
33	0.9099907887279559
34	0.9101792624650515
35	0.9105845288947719
36	0.910276848482126
37	0.9111500193850004
38	0.9107813415335526
39	0.9109395892843835
40	0.9114227409727123
41	0.9116981761642473
42	0.9122456956631513
43	0.912097189711125
44	0.9123943327869124
45	0.9129487712063388
46	0.912963375798801
47	0.912878617192523
48	0.9129187984178269
49	0.9130971182045716
50	0.9133070917521348

MAX:
50	0.9133070917521348
